INFO : 2021-04-22 06:06:42,628 : setup ran
INFO : 2021-04-22 06:06:43,186 : pic_label ran
INFO : 2021-04-22 06:06:43,202 : startup ran
INFO : 2021-04-22 06:06:43,202 : all_functs ran
INFO : 2021-04-22 06:07:30,846 : run has been run because the start button has been clicked
INFO : 2021-04-22 06:07:30,847 : scr_clr_h ran
INFO : 2021-04-22 06:07:30,847 : main ran
INFO : 2021-04-22 06:07:32,981 : exit has been run because the exit button was pushed
INFO : 2021-04-22 06:07:32,981 : scr_clr_h ran
INFO : 2021-04-22 06:07:32,981 : setup ran
INFO : 2021-04-22 06:07:32,986 : pic_label ran
INFO : 2021-04-22 06:07:32,998 : startup ran
INFO : 2021-04-22 06:07:32,999 : all_functs ran
